FileName,Split-1,Split-2,Split-3,Split-4
931,Testing,Training,Training,Training
932,Testing,Training,Training,Training
933,Testing,Training,Training,Training
934,Testing,Training,Training,Training
935,Testing,Training,Training,Training
936,Testing,Training,Training,Training
937,Testing,Training,Training,Training
938,Testing,Training,Training,Training
939,Testing,Training,Training,Training
940,Testing,Training,Training,Training
941,Testing,Training,Training,Training
942,Testing,Training,Training,Training
943,Testing,Training,Training,Training
944,Testing,Training,Training,Training
945,Testing,Training,Training,Training
946,Testing,Training,Training,Training
947,Testing,Training,Training,Training
948,Testing,Training,Training,Training
949,Testing,Training,Training,Training
950,Testing,Training,Training,Training
951,Testing,Training,Training,Training
952,Testing,Training,Training,Training
953,Testing,Training,Training,Training
954,Testing,Training,Training,Training
955,Testing,Training,Training,Training
956,Testing,Training,Training,Training
957,Testing,Training,Training,Training
958,Testing,Training,Training,Training
959,Testing,Training,Training,Training
960,Testing,Training,Training,Training
961,Testing,Training,Training,Training
962,Testing,Training,Training,Training
963,Testing,Training,Training,Training
964,Testing,Training,Training,Training
965,Testing,Training,Training,Training
966,Testing,Training,Training,Training
967,Testing,Training,Training,Training
968,Testing,Training,Training,Training
969,Testing,Training,Training,Training
970,Testing,Training,Training,Training
971,Testing,Training,Training,Training
972,Testing,Training,Training,Training
973,Testing,Training,Training,Training
974,Testing,Training,Training,Training
975,Testing,Training,Training,Training
976,Testing,Training,Training,Training
977,Testing,Training,Training,Training
978,Testing,Training,Training,Training
979,Testing,Training,Training,Training
980,Testing,Training,Training,Training
981,Testing,Training,Training,Training
982,Testing,Training,Training,Training
983,Testing,Training,Training,Training
984,Testing,Training,Training,Training
985,Testing,Training,Training,Training
986,Testing,Training,Training,Training
987,Testing,Training,Training,Training
988,Testing,Training,Training,Training
989,Testing,Training,Training,Training
990,Testing,Training,Training,Training
991,Testing,Training,Training,Training
992,Testing,Training,Training,Training
993,Testing,Training,Training,Training
994,Testing,Training,Training,Training
995,Testing,Training,Training,Training
996,Testing,Training,Training,Training
997,Testing,Training,Training,Training
998,Testing,Training,Training,Training
999,Testing,Training,Training,Training
1000,Testing,Training,Training,Training
